Voltage,Current,Temperature,Humidity,Expected Lifetime,IEC 62133-2:2017 Compliant
3.7,1.79,27.72,45.86,1.41,False
3.69,2.29,28.12,47.2,2.4,True
3.7,2.33,29.17,53.74,3.01,True
3.7,2.1,29.11,53.05,3.05,True
3.68,2.42,24.24,49.9,2.55,True
3.68,2.7,25.12,50.59,3.62,True
3.7,3.44,28.03,56.39,1.93,False
3.7,2.59,28.03,47.04,2.86,True
3.65,2.63,28.03,52.74,3.12,True
3.7,2.46,34.71,48.99,3.51,True
3.65,1.54,28.14,48.91,3.71,True
3.65,2.49,29.27,55.49,1.88,False
3.7,2.53,28.91,54.13,1.47,False
3.51,3.73,28.3,54.07,4.28,True
3.53,2.4,26.37,56.53,3.33,True
3.64,2.65,28.52,50.11,2.25,True
3.6,2.48,25.45,53.41,4.55,True
3.7,1.92,26.53,48.45,3.12,True
3.61,3.07,26.03,51.62,4.18,True
3.56,2.88,27.16,49.35,3.07,True
3.7,2.9,31.63,50.48,5.0,True
3.68,2.05,23.27,52.98,4.76,True
3.7,3.2,28.37,45.91,2.75,True
3.56,1.8,23.77,60.46,3.97,True
3.65,2.79,26.06,44.97,3.65,True
3.7,3.6,29.18,43.93,4.37,True
3.58,2.0,27.13,55.79,2.04,True
3.7,2.22,24.84,53.96,3.69,True
3.64,2.55,25.57,53.12,4.06,True
3.67,2.25,28.36,53.14,1.24,False
3.64,1.72,25.54,49.94,1.82,False
3.7,2.53,27.43,45.51,0.96,False
3.7,1.97,27.09,50.38,2.73,True
3.59,2.74,25.7,46.61,3.72,True
3.7,2.04,31.29,54.88,4.5,True
3.58,3.27,28.27,49.26,3.07,True
3.7,2.11,22.95,45.87,4.63,True
3.5,2.34,27.37,48.39,1.62,False
3.57,2.91,25.68,52.06,1.3,False
3.7,1.88,28.7,47.18,2.94,True
3.7,2.61,25.41,45.89,3.38,True
3.7,3.15,26.77,51.22,2.97,True
3.69,1.7,28.01,51.22,0.93,False
3.67,2.59,28.73,47.47,2.91,True
3.55,2.63,24.6,47.64,1.7,False
3.63,2.89,26.33,51.16,3.67,True
3.65,1.88,26.05,42.76,3.37,True
3.7,1.84,25.69,42.96,2.06,True
3.7,2.76,30.53,46.41,2.49,True
3.52,2.65,27.81,48.93,1.94,False
3.7,2.63,24.48,51.55,2.94,True
3.66,2.67,28.84,57.38,3.96,True
3.63,2.16,31.24,54.29,2.01,True
3.7,2.62,29.06,49.2,3.5,True
3.7,2.65,23.96,49.9,2.47,True
3.7,2.14,26.03,44.99,2.21,True
3.62,3.43,29.53,49.91,2.89,True
3.67,2.74,25.58,48.56,1.96,False
3.7,1.9,27.89,51.61,2.45,True
3.7,2.83,28.55,45.86,1.8,False
3.65,2.01,25.15,52.6,4.96,True
3.68,2.89,26.88,57.66,3.04,True
3.59,3.08,20.52,49.46,2.3,True
3.58,2.09,24.95,52.01,3.21,True
3.7,2.98,26.49,53.45,2.89,True
3.7,2.71,24.5,47.99,2.78,True
3.69,2.91,30.26,51.12,3.61,True
3.7,3.45,24.14,50.06,3.76,True
3.7,2.38,26.12,50.49,2.47,True
3.64,2.12,27.26,46.13,2.42,True
3.7,2.06,29.88,50.12,2.72,True
3.7,2.09,24.13,52.49,0.7,False
3.7,2.46,29.33,57.26,1.48,False
3.7,2.67,27.02,54.8,4.37,True
3.44,2.64,25.04,60.77,4.64,True
3.7,2.91,27.92,46.16,2.75,True
3.7,2.51,27.4,54.36,3.58,True
3.67,3.23,25.8,50.92,3.31,True
3.7,2.37,27.14,60.95,5.0,True
3.5,3.86,26.23,45.96,4.12,True
3.68,2.81,27.23,45.8,2.87,True
3.7,2.07,28.32,47.0,2.04,True
3.7,1.96,30.17,39.38,1.39,False
3.65,2.74,24.52,47.37,3.2,True
3.62,2.39,31.27,46.2,2.24,True
3.65,2.86,23.1,50.75,1.58,False
3.7,2.74,26.7,51.71,2.35,True
3.7,2.46,28.18,59.38,1.92,False
3.65,2.08,27.56,54.75,4.69,True
3.7,1.74,25.75,47.12,3.88,True
3.7,2.28,26.58,45.51,2.99,True
3.7,2.93,26.01,52.46,4.48,True
3.63,2.61,25.82,43.4,3.08,True
3.67,1.88,28.7,59.16,2.14,True
3.66,2.59,27.71,55.9,4.52,True
3.55,2.69,25.61,47.65,3.54,True
3.7,2.06,28.8,41.43,1.96,False
3.7,2.58,27.61,56.77,2.81,True
3.7,2.53,28.63,49.43,2.12,True
3.68,1.93,28.26,56.19,1.62,False
